Key,Source,Context,Changes,English,Russian

statIrradiation,ui_display,Item stat,,Current irradiation,Текущее облучения
statRadIncreasing,ui_display,Item stat,,Radiation accumulation rate,Скорость накопления облучения
statRadEffectResist,ui_display,Item stat,,Radiation resistance effect,Эффект сопротивления радиации

AR-head,progression,Attribute,,Radiation protect: Head,Защита от радиации: Голова
AR-chest,progression,Attribute,,Radiation protect: Chest,Защита от радиации: Корпус
AR-hand,progression,Attribute,,Radiation protect: Hand,Защита от радиации: Руки
AR-feet,progression,Attribute,,Radiation protect: Feet,Защита от радиации: Ноги

modArmorARResistHelmet,item_modifiers,mod,,RadProtect Mod. [DECEA3]Head[-],Мод РадПротект. [DECEA3]Голова[-]
modArmorARResistHelmetDesc,item_modifiers,mod,,"Protects your head from exposure to active radiation.\nRadiation damage [DECEA3]-10%[-]\nIncreases the speed of recovery from irradiation\n\nFull set of protection mods: Grants resistance to 1 active radiation effect.","Защищает вашу голову от воздействия активной радиации.\nУрону от радиации [DECEA3]-10%[-]\nУвеличивает скорость восстановления от облучения\n\nПолный набор модов защиты: Дает сопротивление к 1 эффекту активной радиации."

modArmorAROutfit,item_modifiers,mod,,RadProtect Mod. [DECEA3]Chest[-],Мод РадПротект. [DECEA3]Тело[-]
modArmorAROutfitDesc,item_modifiers,mod,,"Protects your body from exposure to active radiation.\nRadiation damage [DECEA3]-10%[-]\nIncreases the speed of recovery from irradiation\n\nFull set of protection mods: Grants resistance to 1 active radiation effect.","Защищает ваше тело от воздействия активной радиации.\nУрону от радиации [DECEA3]-10%[-]\nУвеличивает скорость восстановления от облучения\n\nПолный набор модов защиты: Дает сопротивление к 1 эффекту активной радиации."

modArmorARGloves,item_modifiers,mod,,RadProtect Mod. [DECEA3]Hands[-],Мод РадПротект. [DECEA3]Руки[-]
modArmorARGlovesDesc,item_modifiers,mod,,"Protects your feet from exposure to active radiation.\nRadiation damage [DECEA3]-10%[-]\nIncreases the speed of recovery from irradiation\n\nFull set of protection mods: Grants resistance to 1 active radiation effect.","Защищает ваши ноги от воздействия активной радиации.\nУрону от радиации [DECEA3]-10%[-]\nУвеличивает скорость восстановления от облучения\n\nПолный набор модов защиты: Дает сопротивление к 1 эффекту активной радиации."

modArmorARBoots,item_modifiers,mod,,RadProtect Mod. [DECEA3]Feet[-],Мод РадПротект. [DECEA3]Ноги[-]
modArmorARBootsDesc,item_modifiers,mod,,"Protects your hands from exposure to active radiation.\nRadiation damage [DECEA3]-10%[-]\nIncreases the speed of recovery from irradiation\n\nFull set of protection mods: Grants resistance to 1 active radiation effect.","Защищает ваши руки от воздействия активной радиации.\nУрону от радиации [DECEA3]-10%[-]\nУвеличивает скорость восстановления от облучения\n\nПолный набор модов защиты: Дает сопротивление к 1 эффекту активной радиации."

buffPillsResistName,buffs,buff,,Drug ANTIRAD,Препарат АНТИРАД 
buffPillsResistTooltip,buffs,buff,,The anti-radiation drug is affecting you,На вас действует препарат против радиации
buffPillsResistIncDesc,buffs,Buff,,"The drug worked well when it all started.\n\nIrradiation accumulation rate reduced by [DECEA3]50%[-]\nResistance to active radiation effects increased by 1","Вы под воздействием препарата АНТИРАД.\n\nСкорость накопления облучения уменьшена на [DECEA3]50%[-]\nСопротивление к эффектам активной радиации увеличено на 1"

drugAntiRadPills,items,Medical,,Drug ANTIRAD,Препарат АНТИРАД
drugAntiRadPillsDesc,items,Medical,,"When it all just started, this drug proved itself to be excellent. He saved many lives of those unfortunate people who survived the explosions. Perhaps in vain.","Когда все только начиналось, этот препарат прекрасно себя зарекомендовал. Он спас множество жизней тех несчастных, котом удалось восле вызрывов. Возможно зря."

buffActiveRadiationResist1Name,buffs,buff,,Weak radiation protection,Слабая защита от радиации 
buffActiveRadiationResist1Tooltip,buffs,buff,,You are protected from light radiation,Вы защищены от легкой радиации
buffActiveRadiationResist1IncDesc,buffs,Buff,,"Not the best - but better than nothing.\n\nProtects against exposure to weak radiation.","Не самая лучшая - но лечше чем ничего.\n\nЗащищает от воздействие слабой радиации."
buffActiveRadiationResist2Name,buffs,buff,,Average radiation protection,Средняя защита от радиации 
buffActiveRadiationResist2Tooltip,buffs,buff,,You are protected from average levels of radiation,Вы защищены от среднего уровня радиации
buffActiveRadiationResist2IncDesc,buffs,Buff,,"Now you can see what’s out there in the wasteland. The main thing is not to die from those who are there.\n\nProtects against exposure to medium levels of radiation.","Вот теперь можно глянуть что там в пустоше. Главное не умереть от тех кто там.\n\nЗащищает от воздействие среднего уровня радиации."
buffActiveRadiationResist3Name,buffs,buff,,Enhanced radiation protection,Усиленная защита от радиации 
buffActiveRadiationResist3Tooltip,buffs,buff,,You are protected from high levels of radiation,Вы защищены от высокого уровня радиации
buffActiveRadiationResist3IncDesc,buffs,Buff,,"Now you are not afraid of any radiation.\n\nProtects against exposure to high levels of radiation.","Теперь вам не страшна никакая радиация.\n\nЗащищает от воздействие высокого уровня радиации."

buffActiveRadiationImpact1Name,buffs,buff,,Weak active radiation,Слабая активная радиация 
buffActiveRadiationImpact1Tooltip,buffs,buff,,You are exposed to weak radiation,Вы под воздействие слабой радиации
buffActiveRadiationImpact1IncDesc,buffs,Buff,,"You are exposed to weak radiation. Nothing serious, but be careful - it can kill.\nYou also lose [FFB800]3 HP[-] every [DECEA3]6 seconds.[-]\n\nYou receive radiation that leads to radiation sickness.","Вы под воздействие слабой радиации. Ничего серьезного, но будьте осторожны - она может и убить.\nТакже вы теряте [FFB800]3 ОЗ[-] каждые [DECEA3]6 секунд.[-]\n\nВы получаете облучение которое приводить к лучевой болезни."
buffActiveRadiationImpact2Name,buffs,buff,,Active radiation,Активная радиация 
buffActiveRadiationImpact2Tooltip,buffs,buff,,You are exposed to active radiation,Вы под воздействие активной радиации
buffActiveRadiationImpact2IncDesc,buffs,Buff,,"You are under the influence of active radiation - try to get rid of it.\nYou also lose [FFB800]3 HP[-] every [DECEA3]3 seconds.[-]\n\nYou get [FFB800]2x[-] more irradiation.","Вы под воздействие активной радиации - постарайтесь от нее избавиться.\nТакже вы теряте [FFB800]3 ОЗ[-] каждые [DECEA3]3 секунд.[-]\n\nВы получаете в [FFB800]2 раза[-] больше облучения."
buffActiveRadiationImpact3Name,buffs,buff,,Critical active radiation,Критическая активная радиация 
buffActiveRadiationImpact3Tooltip,buffs,buff,,Critical level of radiation exposure,Критический уровень воздействия радиации
buffActiveRadiationImpact3IncDesc,buffs,Buff,,"Critical level is the level of active radiation. If you don't take action, we'll have to say goodbye.\nYou also lose [FFB800]9 HP[-] every [DECEA3]3 seconds.[-]\n\nYou get [FFB800]5 times[-] more irradiation.","Критический уровень уровень активной радиации. Если вы не примете меры с вами придеться прощаться.\nТакже вы теряте [FFB800]9 ОЗ[-] каждые [DECEA3]3 секунды.[-]\n\nВы получаете в [FFB800]5 раз[-] больше облучения."

buffIrradiationIncreasing1Name,buffs,buff,,Mild radiation sickness, Слабая лучевая болезнь
buffIrradiationIncreasing1Tooltip,buffs,buff,,You have mild radiation sickness,У вас появилась слабая лучевая болезнь
buffIrradiationIncreasing1IncDesc,buffs,Buff,,"Radiation sickness is a dangerous thing. In time it will kill you. Thank God it's still in its early stages.\nYour health gradually deteriorates, and you [FFB800]lose 10% of your damage resistance.[-]\n\n[DECEA3]Recovery is possible only in the absence of active radiation.[-]","Лучевая болезнь опасная штука. Со временем она вас убъет. Славо богу она пока на начальной стадии.\nВаше самочувствие понемногу ухудшается, и [FFB800]вы теряете 10% от сопротивления к урону.[-]\n\n[DECEA3]Восстановление возможно только при отсутствии активной радиации.[-]"

buffIrradiationIncreasing2Name,buffs,buff,,Active radiation sickness, Активная лучевая болезнь
buffIrradiationIncreasing2Tooltip,buffs,buff,,Radiation disease has developed to the active stage,Лучавая болезнь развилась до активной стадии
buffIrradiationIncreasing2IncDesc,buffs,Buff,,"Well, we waited! Radiation disease has entered the active phase. Now you feel much worse.\nYou lose [FFB800]30%[-] damage resistance, [FFB800]15%[-] mobility, and your [DECEA3]weapons[-] and [DECEA3]armor[-] break down [FFB800]25%[-] faster. Stamina reduced by [FFB800]50[-], and health by [FFB800]25[-]\n\n[DECEA3]Recovery is possible only in the absence of active radiation.[-]","Ну дождались! Лучавая болезнь перешла в активную фазу. Теперь вы себя чувствуете значительно хуже.\nВы теряете [FFB800]30%[-] от сопротивления урону, [FFB800]15%[-] мобильности, а также ваше [DECEA3]оружие[-] и [DECEA3]броня[-] ломаются на [FFB800]25%[-] быстрее. Запас выносливости уменьшен на [FFB800]50[-], а здоровья на [FFB800]25[-]\n\n[DECEA3]Восстановление возможно только при отсутствии активной радиации.[-]"

buffIrradiationIncreasing3Name,buffs,buff,,Severe radiation sickness, Тяжелая лучевая болезнь
buffIrradiationIncreasing3Tooltip,buffs,buff,,[FFB800]The level of radiation received is critical[-],[FFB800]Уровень полученной радиации критический[-]
